productID,description,category,vendor,brand,product_information,additional_information,shipping_returns
195,Oraimo 20000mAh Power Charging Bank Fast Charging OPB-P208DN,65,3,144,Oraimo Power bank,,1
196,Oraimo 10000mAh Power-Bank 2.1A For 2 Device Same Time OPB-P110DN,65,3,144,Oraimo Power bank,,1
197,"Oraimo 20,000MAH Type C & USB Port Powerbank",65,3,144,Oraimo Power bank,,1
198,Oraimo 10000mah Power-Bank 2.4A Fast Charging OPB-P118D,65,3,144,Oraimo Power bank,,1
199,Oraimo Dual USB Output 204D Power-Bank 20000mAh Fast Charging,65,3,144,Oraimo Power bank,,1
200,Oraimo 30000mah Massive Ultra Two-way Fast Powerbank,65,3,144,Oraimo Power bank,,1
201,Oraimo 40000mah Laptop Power Bank 22.5W Digital Display,65,3,144,Oraimo Power bank,,1
202,Oraimo 10000mAh 12W Fast Charge Power-Bank,65,3,144,Oraimo Power bank,,1
203,Oraimo 30000Mah High Speed Fast Charging Power Bank,65,3,144,Oraimo Power bank,,1
204,Oraimo Traveler Link 27 27000mAh 3 Built-in Charging Cables AniFast 12W Fast Charge,65,3,144,Oraimo Power bank,,1
205,Oraimo 22.5W LED Light Super Fast 50000mA Power Bank + Free Charger,65,3,144,Oraimo Power bank,,1
206,Oraimo 40000mAh Strong Massive Power Bank With LED Light,65,3,144,Oraimo Power bank,,1
207,Oraimo PowerBox-600 60000m-A-h 22.5W Super Power Bank,65,3,144,Oraimo Power bank,,1
208,Oraimo MagPower 5000mAh Magnetic Wireless Power Bank,65,3,144,Oraimo Power bank,,1
209,Oraimo 22.5W Super Fast 5 Output Port LED Light 60000mA Power Bank + Free Charger,65,3,144,Oraimo Power bank,,1
210,Realme earbuds ORAIMO FREEPODS Bluetooth Earbuds Wireless Stereo Earphones Earpóds,67,3,144,"Mini Invisible wireless earphone design;

Super Mini size and hidden in the ear, do not wear the bale;

Unique headset design, stable in the ear, good for driving, sports, business, or leisure;

Signal with  Wireless range (no obstacles);

Deep DPS-noise reduction microphone ensures clear call quality;

Voice prompt for pairing, calling, turn on/off;

One button function for on/off, song switch, language change, receive calls;

Specification:

Material: ABS Plastic

Package Includes:

1 Set Earphone

Note:

Please visit our Instagram page @quickstore.ng for more information on our products

Your satisfaction is our utmost concern.

Thank you",,1
211,Oraimo Rock Long Playtime 2-mic ENC TWS True Wireless Earbuds,67,3,144,"Long Lasting 24H Playtime-Charge on the Go

Playtime lasts for over 8 hours from single charge and total 24 hours with charging case. If you are low on power, 10 minutes of charge time gives you up to 60 minutes of playback.

*Results are based on 50% volume. Battery life may vary depending on the volume, the source of playback, the temperature, environmental interference, and the users habits.



Amazing Bass Quality-Bass that Touches You

Provides seriously powerful and punchy bass. Efficiently restores the authentic sound quality.



IPX5 Waterproof-Water Resistant for Daily Use

IPX5 protects your earbuds from sweat, water, rain, etc. A perfect choice for running, jogging, cycling, working out in the gym.



2-mic ENC Technology-Environmental Noise Canceling for Clear Call

ENC technology effectively suppresses environmental noise, making the person you are calling hear your voice more clearly.



Tiny Size and Fit Design-Comfortable and Secure

Perfectly fits the curve of inner contour of ear. Whether you re running or jumping, the earbuds will stay in ear securely.",,1
212,Oraimo Rhyme ANC Active Noise Cancellation ENC Noise Cancellation True Wireless Earbuds,67,3,144,Oriamo Wireless Airbuds,,1
213,Oraimo BURNA BOY Space Pod Noise Cancellation Earbud,67,3,144,Oriamo Wireless Airbuds,,1
214,Oraimo FreePods Pro ANC Active Noise Cancellation Wireless Earbuds,67,3,144,Oriamo Wireless Airbuds,,1
215,Oraimo FreePods 4 Active Noise Cancellation Earbuds,67,3,144,Oriamo Wireless Airbuds,,1
216,Oraimo FreePods Lite 40-hour Playtime ENC True Wireless Earbuds,67,3,144,Oriamo Wireless Airbuds,,1
217,Oraimo FreePods 3C ENC Calling Noise Cancellation True Wireless Earbuds,67,3,144,Oriamo Wireless Airbuds,,1
218,Oraimo Riff 2 ENC True Wireless Earbuds With APP Control,67,3,144,Oriamo Wireless Airbuds,,1
219,Oraimo Riff True Wireless Earbuds - Red,67,3,144,Oriamo Wireless Airbuds,,1
220,Oraimo Havy Base with long lasting battery SHARK 4 NECKLACE EARBUD,67,3,144,Oriamo Wireless Airbuds,,1
221,Oraimo Air Buds-3S Super Bass True Wireless Stereo Smart Earbuds,67,3,144,Oriamo Wireless Airbuds,,1
222,Oraimo Air 12 Pro Fingerprint Earbuds + Inbuilt Power Bank,67,3,144,"<ul class=""highlights text-left"" style=""box-sizing: border-box; padding: 0px 0px 0px 15px; margin: 0px 0px 15px;""><li style=""box-sizing: border-box; padding: 0px; margin: 0px; line-height: 18px;"">Stereo Best Quality</li><li style=""box-sizing: border-box; padding: 0px; margin: 0px; line-height: 18px;"">LED Power Display</li><li style=""box-sizing: border-box; padding: 0px; margin: 0px; line-height: 18px;"">Noise Reduction</li><li style=""box-sizing: border-box; padding: 0px; margin: 0px; line-height: 18px;"">Low Power Consumption</li><li style=""box-sizing: border-box; padding: 0px; margin: 0px;""><p style=""box-sizing: inherit; padding: 0px; margin: 0px; color: rgb(49, 49, 51); font-family: -apple-system, BlinkMacSystemFont, Roboto, "" helvetica="""" neue"",="""" arial,="""" sans-serif;="""" font-size:="""" 12px;""="""">High Defination Sound Active Noise Cancellation Technology Delicate &amp; Stylish Design Light Weight &amp; Extremely Convenient to use<br style=""box-sizing: inherit;"">Soft head beam lining &amp; ear cushions<br style=""box-sizing: inherit;"">More comfortable to wear<br style=""box-sizing: inherit;"">Ergonomic Design<br style=""box-sizing: inherit;"">Suitable for different head types and sizes<br style=""box-sizing: inherit;"">Play Various Games Immersively</p><p style=""box-sizing: inherit; padding: 0px; margin: 0px; color: rgb(49, 49, 51); font-family: -apple-system, BlinkMacSystemFont, Roboto, "" helvetica="""" neue"",="""" arial,="""" sans-serif;="""" font-size:="""" 12px;""="""">Using the brand new Bluetooth 5.1 technology<br style=""box-sizing: inherit;"">More Powerful high-speed transmission efficiency</p></li></ul>",,1
223,Oraimo Wireless FreePods Lite 40-hour Playtime ENC True Wireless Earbuds - sky blue,67,3,144,Air buds,,1
224,Oraimo Air-Buds 4 ENC True Wireless Earbuds,67,3,144,"Smart LED Power Display
See Remaining Power at a Glance

You can effortlessly monitor the remaining power of each earbud and the charging case through the convenient power LED display.

*The LED display shows charging case and earbud battery levels, adjusting by 1% and 10% respectively.",,1
